ingtot,sex,age,logIng,female,fitValues,age2,numfem,agefem,oficio
1840833.33333333,1,36,14.4257289256083,0,14.0231906565713,1296,0,0,39
1878973.33333333,1,51,14.4462360863488,0,14.0231906565702,2601,0,0,85
883357,1,45,13.6914847013882,0,14.0231906565723,2025,0,0,45
1200000,1,61,13.9978321147582,0,14.0231906565723,3721,0,0,53
1941500,0,35,14.4789714281539,1,13.8202984369853,1225,1,35,13
1083000,0,35,13.8952455259831,1,13.8202984369853,1225,1,35,42
1716333.33333333,1,39,14.3557007903602,0,14.0231906565723,1521,0,0,33
1e+06,1,29,13.8155105579643,0,14.0231906565723,841,0,0,37
779000,1,29,13.5657663248529,0,14.0231906565723,841,0,0,45
3e+05,0,44,12.6115377536383,1,13.8202984369853,1936,1,44,57
2121000,1,31,14.5673982335468,0,14.0231906565723,961,0,0,45
9e+05,1,55,13.7101500423064,0,14.0231906565723,3025,0,0,84
820857,0,56,13.6181041954319,1,13.8202984369853,3136,1,56,55
1226333.41666667,1,23,14.0195393133721,0,14.0231906565723,529,0,0,39
1237806.66666667,1,30,14.0288515541726,0,14.0231906565723,900,0,0,53
6e+05,0,50,13.3046849341983,1,13.8202984369853,2500,1,50,45
949806.666666667,1,28,13.7640137340941,0,14.0231906565723,784,0,0,39
1500000,0,54,14.2209756660724,1,13.8202984369853,2916,1,54,79
310000,1,36,12.6443275764613,0,14.0231906565723,1296,0,0,37
60000,0,53,11.0020998412042,1,13.8202984369853,2809,1,53,56
1591500,0,33,14.2801875257043,1,13.8202984369853,1089,1,33,39
795883.666666667,1,38,13.5872083067423,0,14.0231906565723,1444,0,0,37
70000,1,51,11.1562505210315,0,14.0231906565723,2601,0,0,93
1083333.33333333,0,51,13.8955532656378,1,13.8202984369853,2601,1,51,55
3633333.33333333,1,43,15.1056610585313,0,14.0231906565723,1849,0,0,21
1300000,1,47,14.0778748224318,0,14.0231906565723,2209,0,0,98
1659806.66666667,0,41,14.3222116876866,1,13.8202984369853,1681,1,41,32
826883.666666667,0,31,13.625419295026,1,13.8202984369853,961,1,31,97
825800.333333333,1,36,13.624108296083,0,14.0231906565723,1296,0,0,98
910333.416666667,0,50,13.7215662033293,1,13.8202984369853,2500,1,50,55
1087000,0,42,13.8989321661033,1,13.8202984369853,1764,1,42,54
1500000,1,45,14.2209756660724,0,14.0231906565723,2025,0,0,98
786000,1,20,13.5747120714113,0,14.0231906565723,400,0,0,95
1283140,1,49,14.0648207568965,0,14.0231906565723,2401,0,0,58
3e+05,0,47,12.6115377536383,1,13.8202984369853,2209,1,47,55
850000,1,24,13.6529916284665,0,14.0231906565723,576,0,0,98
1333140,1,27,14.1030476199025,0,14.0231906565723,729,0,0,33
3050000,0,24,14.9306521485836,1,13.8202984369853,576,1,24,30
2283333.33333333,0,47,14.6411469215703,1,13.8202984369853,2209,1,47,19
1800000,1,55,14.4032972228664,0,14.0231906565723,3025,0,0,83
350000,1,21,12.7656884334656,0,14.0231906565723,441,0,0,42
820857,1,29,13.6181041954319,0,14.0231906565723,841,0,0,55
1300000,0,63,14.0778748224318,1,13.8202984369853,3969,1,63,51
1513140,1,35,14.2296975198843,0,14.0231906565723,1225,0,0,98
882333.416666667,0,56,13.6903252869877,1,13.8202984369853,3136,1,56,55
1275000,0,53,14.0584567365747,1,13.8202984369853,2809,1,53,45
1625000,0,23,14.301018373746,1,13.8202984369853,529,1,23,39
820857,1,41,13.6181041954319,0,14.0231906565723,1681,0,0,55
820857,0,32,13.6181041954319,1,13.8202984369853,1024,1,32,32
1550000,1,62,14.2537654888954,0,14.0231906565723,3844,0,0,39
1693140,1,24,14.3420953511399,0,14.0231906565723,576,0,0,84
3150000,0,43,14.9629130108018,1,13.8202984369853,1849,1,43,13
2925000,1,55,14.8888050386481,0,14.0231906565723,3025,0,0,13
1587717,0,73,14.2778076933207,1,13.8202984369853,5329,1,73,54
1e+06,1,51,13.8155105579643,0,14.0231906565723,2601,0,0,93
80000,0,76,11.289781913656,1,13.8202984369853,5776,1,76,79
5e+05,1,47,13.1223633774043,0,14.0231906565723,2209,0,0,45
780000,0,56,13.5670491986658,1,13.8202984369853,3136,1,56,54
882523.666666667,0,47,13.6905408851826,1,13.8202984369853,2209,1,47,97
1237140,0,29,14.0283128220118,1,13.8202984369853,841,1,29,39
2500000,0,52,14.7318012898384,1,13.8202984369853,2704,1,52,57
7216666.66666667,1,63,15.7919037237447,0,14.0231906565723,3969,0,0,84
1551473.33333333,0,25,14.254715575055,1,13.8202984369853,625,1,25,54
1e+06,1,32,13.8155105579643,0,14.0231906565723,1024,0,0,18
935166.666666667,0,24,13.7484800455051,1,13.8202984369853,576,1,24,58
941166.666666667,1,27,13.7548755194269,0,14.0231906565723,729,0,0,58
2e+05,0,63,12.2060726455302,1,13.8202984369853,3969,1,63,41
1200000,1,71,13.9978321147582,0,14.0231906565723,5041,0,0,41
11177083.3333333,1,52,16.2293761091271,0,14.0231906565723,2704,0,0,2
6018333.33333333,0,52,15.6103209240256,1,13.8202984369853,2704,1,52,2
1461473.33333333,1,25,14.1949556172728,0,14.0231906565723,625,0,0,2
980000,0,53,13.7953078506468,1,13.8202984369853,2809,1,53,84
2166666.66666667,0,30,14.5887004461978,1,13.8202984369853,900,1,30,2
2e+06,1,42,14.5086577385242,0,14.0231906565723,1764,0,0,57
8e+05,0,52,13.5923670066501,1,13.8202984369853,2704,1,52,57
1200000,1,41,13.9978321147582,0,14.0231906565723,1681,0,0,39
916666.666666667,0,19,13.7284991809746,1,13.8202984369853,361,1,19,33
889357,0,37,13.6982540086896,1,13.8202984369853,1369,1,37,41
4e+05,0,53,12.8992198260901,1,13.8202984369853,2809,1,53,57
737717,0,39,13.5113155612049,1,13.8202984369853,1521,1,39,21
6716666.66666667,1,41,15.7201025576889,0,14.0231906565723,1681,0,0,44
1300000,0,58,14.0778748224318,1,13.8202984369853,3364,1,58,51
650000,0,33,13.3847276418718,1,13.8202984369853,1089,1,33,53
8e+05,1,51,13.5923670066501,0,14.0231906565723,2601,0,0,53
750000,1,59,13.5278284855125,0,14.0231906565723,3481,0,0,84
450000,1,49,13.0170028617465,0,14.0231906565723,2401,0,0,81
849857,0,53,13.6528233790192,1,13.8202984369853,2809,1,53,55
