directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
12472,4729093,1,2,1,BOGOTA,9,2,1,24,3,1,5,11,1,58,10,1,80,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1279877.66666667,0,0,0,0,0,0,1279877.66666667,1279877.66666667,234.225088113704,11,234.225088113704,234,6,1,1,1,1,0,1,0,80,1,0,0,0,5,576,14.0622750584118,0,0,6400,512000
14924,4772592,1,2,1,BOGOTA,11,3,0,34,2,1,3,5,1,94,30,4,40,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,150000,0,0,0,0,0,0,150000,150000,297.654686615606,11,297.654686615606,298,4,0,2,1,1,0,1,0,40,0,1,1,1,1,1156,11.9183905730784,1,34,1600,64000
342,4521277,1,3,1,BOGOTA,1,3,0,57,3,1,6,6,1,13,216,1,40,6,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3981667,209.331909275021,11,209.331909275021,209,7,0,1,1,1,0,1,0,40,1,0,0,0,4,3249,15.197211133791,1,57,1600,64000
6154,4620884,1,1,1,BOGOTA,5,4,0,34,1,1,6,5,1,2,2,4,40,8,1,2,0,2,2,0,0,0,1,2e+07,3e+06,0,0,0,0,1,6e+06,0,0,0,1916666.66666667,0,0,7916666.66666667,7916666.66666667,224.101769147436,11,224.101769147436,224,7,0,1,1,1,0,1,0,40,1,0,1,0,5,1156,15.8844807997768,1,34,1600,64000
2835,4564586,1,1,1,BOGOTA,3,3,1,47,1,1,6,4,1,70,96,1,58,5,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1079877.66666667,0,0,0,0,0,0,1099877.66666667,1099877.66666667,320.897334712355,11,320.897334712355,321,7,0,1,1,1,0,1,0,58,1,0,0,0,4,2209,13.9107095194629,0,0,3364,195112
14989,4777677,1,1,1,BOGOTA,11,2,1,36,1,1,4,8,1,85,6,1,60,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1429044.33333333,0,0,0,0,0,0,1429044.33333333,1429044.33333333,301.969944638906,11,301.969944638906,302,5,0,1,1,1,0,1,0,60,1,0,0,0,5,1296,14.1725164804569,0,0,3600,216000
3360,4572263,1,2,1,BOGOTA,3,3,1,32,2,1,6,2,1,39,9,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,90000,0,1,1863333.33333333,0,0,0,0,0,0,1863333.33333333,3863333.33333333,231.848547455165,11,231.848547455165,232,7,0,1,1,1,0,1,0,48,1,0,0,0,5,1024,15.1670409266478,0,0,2304,110592
15665,4787830,1,1,1,BOGOTA,12,2,1,58,1,1,3,5,1,58,5,1,48,4,1,2,0,2,2,0,0,0,1,0,0,0,0,1200000,1200000,1,1346544.33333333,0,0,0,0,0,0,1346544.33333333,1346544.33333333,243.390131899029,11,243.390131899029,243,4,0,1,1,1,0,1,0,48,1,0,0,0,3,3364,14.1130521155587,0,0,2304,110592
11327,4709890,1,1,1,BOGOTA,9,2,1,39,1,1,5,11,1,95,60,1,60,8,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1e+06,0,0,0,0,0,0,1e+06,1e+06,216.762418953753,11,216.762418953753,217,6,1,2,1,1,0,1,0,60,0,1,0,0,5,1521,13.8155105579643,0,0,3600,216000
10590,4699045,1,1,1,BOGOTA,8,3,1,36,1,1,5,11,1,58,2,1,50,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,931000,0,0,0,0,0,0,931000,931000,182.193841677137,11,182.193841677137,182,6,1,1,1,1,0,1,0,50,1,0,0,0,5,1296,13.7440145562592,0,0,2500,125000
16165,4801289,1,1,1,BOGOTA,12,2,1,30,1,2,3,4,1,45,18,4,72,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,2e+05,0,0,0,0,0,0,2e+05,2e+05,360.946019521945,11,360.946019521945,361,3,0,2,1,1,0,1,0,72,0,1,1,1,1,900,12.2060726455302,0,0,5184,373248
3802,4584410,1,3,1,BOGOTA,3,2,1,20,5,1,5,11,1,58,6,1,48,7,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1066942,193.458072034825,11,193.458072034825,193,6,1,1,1,1,0,1,0,48,1,0,0,0,4,400,13.8803071707933,0,0,2304,110592
1341,4540564,1,2,1,BOGOTA,2,3,1,45,5,1,6,7,1,12,84,4,48,4,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,3e+06,0,0,0,0,0,0,3e+06,3e+06,236.906248707793,11,236.906248707793,237,7,0,1,1,1,0,1,0,48,1,0,1,0,3,2025,14.9141228466324,0,0,2304,110592
1613,4540763,1,1,1,BOGOTA,2,2,0,36,1,1,6,3,1,45,74,1,48,8,1,2,0,2,2,0,0,0,1,0,0,0,0,0,1200000,1,3067211,0,0,0,0,0,0,3067211,3067211,258.698108245163,11,258.698108245163,259,7,0,1,1,1,0,1,0,48,1,0,0,0,5,1296,14.9362792375999,1,36,2304,110592
