directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
4,4514335,1,1,1,BOGOTA,1,2,1,61,1,1,3,3,1,53,120,1,40,7,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,7e+05,0,0,0,0,0,0,7e+05,1200000,230.177656890553,11,230.177656890553,230,3,0,2,1,1,0,1,0,40,0,1,0,0,4,3721,13.9978321147582,0,0,1600,64000
5,4514338,1,2,1,BOGOTA,1,2,0,35,2,1,6,5,6,13,24,2,48,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1941500,0,0,0,0,0,0,1941500,1941500,341.979787849128,11,341.979787849128,342,7,0,1,1,1,0,1,0,48,1,0,0,0,5,1225,14.4789714281539,1,35,2304,110592
6,4514339,1,1,1,BOGOTA,1,2,0,35,1,1,5,11,1,42,36,1,40,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1083000,0,0,0,0,0,0,1083000,1083000,352.079215448786,11,352.079215448786,352,6,1,1,1,1,0,1,0,40,1,0,0,0,5,1225,13.8952455259831,1,35,1600,64000
8,4514342,1,2,1,BOGOTA,1,2,1,29,3,2,6,2,4,37,6,4,40,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1e+06,0,0,0,0,0,0,1e+06,1e+06,254.687742271476,11,254.687742271476,255,7,0,2,1,1,0,1,0,40,0,1,1,1,1,841,13.8155105579643,0,0,1600,64000
9,4514343,1,1,1,BOGOTA,1,2,1,29,1,1,5,11,4,45,24,1,54,2,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,779000,0,0,0,0,0,0,779000,779000,429.27183342678,11,429.27183342678,429,6,1,1,1,1,0,1,0,54,1,0,0,1,2,841,13.5657663248529,0,0,2916,157464
12,4514346,1,1,1,BOGOTA,1,2,1,55,1,1,5,11,1,84,2,5,48,2,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9e+05,238.640556816578,11,238.640556816578,239,6,1,2,1,1,0,1,0,48,0,1,0,1,2,3025,13.7101500423064,0,0,2304,110592
14,4514349,1,3,1,BOGOTA,1,2,1,23,3,1,6,4,1,39,51,1,40,9,1,2,0,2,2,0,0,0,1,0,0,0,0,9e+05,3400000,1,882333.416666667,0,0,0,0,0,0,1226333.41666667,1226333.41666667,243.471239664797,11,243.471239664797,243,7,0,1,1,1,0,1,0,40,1,0,0,0,5,529,14.0195393133721,0,0,1600,64000
15,4514349,1,2,1,BOGOTA,1,2,1,30,3,1,5,11,1,53,8,1,54,4,1,2,0,2,2,0,0,0,1,0,0,0,0,0,9e+05,1,949806.666666667,0,0,0,0,0,0,1237806.66666667,1237806.66666667,243.471239664797,11,243.471239664797,243,6,1,1,1,1,0,1,0,54,1,0,0,0,3,900,14.0288515541726,0,0,2916,157464
16,4514350,1,1,1,BOGOTA,1,2,0,50,1,1,6,2,1,45,72,4,48,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,6e+05,0,0,0,0,0,0,6e+05,6e+05,254.687742271476,11,254.687742271476,255,7,0,2,1,1,0,1,0,48,0,1,1,1,1,2500,13.3046849341983,1,50,2304,110592
17,4514350,1,2,1,BOGOTA,1,2,1,28,3,1,6,2,1,39,24,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,949806.666666667,0,0,0,0,0,0,949806.666666667,949806.666666667,254.687742271476,11,254.687742271476,255,7,0,1,1,1,0,1,0,48,1,0,0,0,5,784,13.7640137340941,0,0,2304,110592
